property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,shapoorji pallonji joyville gurugram,sector 102,1.2,14563.0,2,2,3,0.0,Relatively New,1359.05,1073.0,823.98,0,0,0,0,0,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
house,vipul tatvam villa,sector 48,7.69,24069.0,4,5,3,2.0,Moderately Old,3531.0,3195.05,2876.0,1,1,1,1,0,1,110,"28.4177° N, 77.0359° E",28.4177,77.0359
house,independent,sector 56,2.95,20233.0,2,2,0,1.0,Moderately Old,1611.0,1457.97,1312.0,0,0,0,0,0,0,0,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,corona optus,sector 37c,1.25,7090.0,3,3,3,4.0,Relatively New,1763.02,1350.01,1233.97,0,0,0,0,1,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,sare crescent parc,sector 92,0.8,6033.0,3,2,2,3.0,Relatively New,1653.26,1473.0,1326.0,0,0,0,0,0,0,15,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,m3m the marina,sector 68,2.22,14322.0,3,2,3,4.0,Relatively New,1550.0,1403.0,1263.0,0,0,0,0,0,0,44,"28.3853° N, 77.0484° E",28.3853,77.0484
house,independent,sector 37d,1.16,7539.0,1,1,0,1.0,Relatively New,1696.0,1535.04,1382.0,0,0,0,0,0,0,0,"28.4478° N, 76.9703° E",28.4478,76.9703
house,vipul tatvam villa,sector 48,8.5,26235.0,4,4,1,2.0,Relatively New,3580.0,3240.04,2916.0,0,0,0,0,0,0,21,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,sare green parc phase 3,sector 92,0.75,7142.0,3,2,2,3.0,New Property,1326.0,1298.02,1050.02,0,0,0,0,0,0,121,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,ats triumph,sector 104,1.83,7991.0,3,4,3+,10.0,Relatively New,2290.02,2000.04,1749.99,0,1,0,0,0,0,165,"28.4788° N, 76.9960° E",28.4788,76.996
flat,friends apartment,sector 52,2.0,8510.0,4,3,3,5.0,Moderately Old,2349.97,2091.0,1849.99,0,1,0,0,0,2,111,"28.4379° N, 77.0785° E",28.4379,77.0785
